rider_name,MotoGP,Moto2,Moto3,MotoE,350cc,250cc,125cc,80cc,50cc
Garrett Gerloff,2021,,,,,,,,
Enea Bastianini,2021,"2019, 2020","2014, 2015, 2016, 2017, 2018",,,,,,
Luca Marini,2021,"2015, 2016, 2017, 2018, 2019, 2020",2013,,,,,,
Jorge Martin,2021,"2019, 2020","2015, 2016, 2017, 2018",,,,,,
Jake Dixon,2021,"2017, 2019, 2020, 2021",,,,,,,
Lorenzo Savadori,"2020, 2021",,,2019,,,"2008, 2009, 2010",,
Brad Binder,"2020, 2021","2017, 2018, 2019","2012, 2013, 2014, 2015, 2016",,,,2011,,
Alex Marquez,"2020, 2021","2015, 2016, 2017, 2018, 2019","2012, 2013, 2014",,,,,,
Iker Lecuona,"2019, 2020, 2021","2016, 2017, 2018, 2019",,,,,,,
Joan Mir,"2019, 2020, 2021",2018,"2015, 2016, 2017",,,,,,
Francesco Bagnaia,"2019, 2020, 2021","2017, 2018","2013, 2014, 2015, 2016",,,,,,
Fabio Quartararo,"2019, 2020, 2021","2017, 2018","2015, 2016",,,,,,
Miguel Oliveira,"2019, 2020, 2021","2016, 2017, 2018","2012, 2013, 2014, 2015",,,,2011,,
Takaaki Nakagami,"2018, 2019, 2020, 2021","2012, 2013, 2014, 2015, 2016, 2017",,,,,"2007, 2008, 2009",,
Franco Morbidelli,"2018, 2019, 2020, 2021","2013, 2014, 2015, 2016, 2017",,,,,,,
Hafizh Syahrin,"2018, 2019","2011, 2012, 2013, 2014, 2015, 2016, 2017, 2020, 2021",,,,,,,
Xavier Simeon,2018,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",,"2019, 2020",,,,,
Thomas Luthi,2018,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021",,,,"2007, 2008, 2009","2002, 2003, 2004, 2005, 2006",,
Jordi Torres,2018,"2010, 2011, 2012, 2013, 2014",,"2020, 2021",,,,,
Christophe Ponsson,2018,,,,,,,,
Alex Rins,"2017, 2018, 2019, 2020, 2021","2015, 2016","2012, 2013, 2014",,,,,,
Johann Zarco,"2017, 2018, 2019, 2020, 2021","2012, 2013, 2014, 2015, 2016",,,,,"2009, 2010, 2011",,
Jonas Folger,2017,"2014, 2015, 2016, 2019","2012, 2013",,,,"2008, 2009, 2010, 2011",,
Kohta Nozane,2017,"2012, 2013",,,,,,,
Takuya Tsuda,2017,,,,,,,,
Michael Van Der Mark,2017,2011,,,,,"2008, 2009, 2010",,
Sam Lowes,2017,"2014, 2015, 2016, 2018, 2019, 2020, 2021",,,,,,,
Mike Jones,"2016, 2018",,,,,,,,
Tito Rabat,"2016, 2017, 2018, 2019, 2020, 2021","2011, 2012, 2013, 2014, 2015",,,,,"2005, 2006, 2007, 2008, 2009, 2010",,
Javier Fores,2016,"2010, 2011",,,,,,,
Alex Lowes,2016,,,,,,,,
Maverick Viñales,"2015, 2016, 2017, 2018, 2019, 2020, 2021",2014,"2012, 2013",,,,2011,,
Jack Miller,"2015, 2016, 2017, 2018, 2019, 2020, 2021",,"2012, 2013, 2014",,,,2011,,
Loris Baz,"2015, 2016, 2017",,,,,,,,
Eugene Laverty,"2015, 2016",,,,,"2007, 2008",2004,,
Takumi Takahashi,2015,,,,,"2006, 2007, 2008",2005,,
Broc Parkes,"2014, 2015, 2017",,,,,,1999,,
Pol Espargaro,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021","2011, 2012, 2013",,,,,"2006, 2007, 2008, 2009, 2010",,
Scott Redding,"2014, 2015, 2016, 2017, 2018","2010, 2011, 2012, 2013",,,,,"2008, 2009",,
Mike Di Meglio,"2014, 2015","2010, 2011, 2012, 2013",,"2019, 2020",,2009,"2003, 2004, 2005, 2006, 2007, 2008",,
Leon Camier,2014,,,,,,"2002, 2003",,
Marc Marquez,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021","2011, 2012",,,,,"2008, 2009, 2010",,
Bradley Smith,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020","2011, 2012, 2019",,2019,,,"2006, 2007, 2008, 2009, 2010",,
